Z mean train,Q Predictions Max,Q Predictions Mean,Number of env steps total,Train Time (s),Q Predictions Min,QF Loss,RF Loss,KL Divergence,Policy log std Max,Policy Loss,Sample Time (s),Number of rollouts total,Policy log std Mean,Epoch,Log Pis Std,Epoch Time (s),KL Loss,Z mean eval,AverageReturn_all_train_tasks,R Predictions Mean,Policy log std Std,AverageReturn_all_test_tasks,Log Pis Mean,Policy log std Min,R Predictions Max,Q Predictions Std,R Predictions Std,VF Loss,V Predictions Std,V Predictions Min,Number of train steps total,Total Train Time (s),Log Pis Max,Z variance eval,Policy mu Std,Z variance train,Log Pis Min,Policy mu Min,R Predictions Min,V Predictions Max,Policy mu Mean,V Predictions Mean,(Previous) Eval Time (s),Policy mu Max
0.0221685,56.518,38.3534,390000,105.84243018399957,-85.5779,18.6144,11.0852,0.09844009578227997,-0.0613044,-41.3263,32.994701374000215,4700,-0.135308,20,0.441997,236.23422960299922,0.009844009764492512,0.0106357,-21.3378139025,-0.00474213,0.0158015,-21.4241575928,-2.67017,-0.348639,-0.00334213,22.6135,0.000495771,0.927171,22.4367,-81.3655,21000,5095.79373449,1.17681,0.927701,0.159509,0.958628,-6.77986,-1.15985,-0.00600439,59.9102,0.0156596,41.7124,97.39709804499944,1.23409
0.0106755,99.3331,43.8388,405000,105.33496068099976,-81.2819,31.8943,4.04543,0.17258349061012268,-0.04347,-46.132,32.660770463996414,4900,-0.136637,21,0.419529,234.928135774996,0.017258349806070328,0.0142844,-19.9334800045,-0.00460669,0.0154762,-19.8976329523,-2.67066,-0.262605,-0.0036584,18.6839,0.0003922,1.14204,18.9862,-78.8138,22000,5330.858983124996,-0.673117,0.965544,0.149879,0.931194,-5.89757,-1.00014,-0.00572783,99.0024,0.013213,46.0998,96.93240462999984,1.05066
0.0142381,101.233,44.024,420000,105.36982813000031,-100.519,31.326,7.77776,0.05344042181968689,-0.0462249,-46.2377,32.76504924499841,5100,-0.136402,22,0.436433,235.20482148399788,0.0053440420888364315,0.0185149,-20.774692108,-0.00440656,0.0146491,-20.8437601737,-2.67333,-0.332708,-0.0033146,20.0329,0.000505307,1.36177,20.0419,-96.484,23000,5565.340708409995,1.69152,0.977999,0.152867,0.962765,-5.54573,-1.23443,-0.00593217,99.6853,0.00522995,46.0367,97.06994410899915,1.36017
0.018492,59.7596,44.9474,435000,105.10782751699935,-93.8083,38.6559,2.97631,0.06189070641994476,-0.0436067,-47.3502,32.76565549899624,5300,-0.139923,23,0.443327,234.2211197339957,0.006189070641994476,0.0165616,-21.5207610751,-0.00453821,0.0148699,-21.5081346869,-2.66916,-0.484071,-0.00349519,20.1602,0.000406622,1.05578,20.2069,-88.8139,24000,5799.69904641799,5.64825,0.894459,0.156855,0.97695,-5.66855,-1.92391,-0.00547672,62.6267,0.00399116,47.68,96.3476367180001,1.81199
0.0165632,108.843,44.1884,450000,105.72042301799956,-94.6471,31.7533,2.77777,0.41879570484161377,-0.0102813,-46.5739,32.75476651501049,5500,-0.135871,24,0.452516,234.96052135800892,0.041879571974277496,0.0228556,-22.4598410421,-0.00477307,0.0181365,-22.3692836698,-2.65957,-0.388668,-0.00345089,22.4209,0.000526972,1.31953,22.3323,-91.2751,25000,6035.056894312997,0.841392,0.969551,0.165955,0.894715,-6.446,-1.6222,-0.00678022,105.41,0.00697761,46.0859,96.48533182499887,1.43469
0.0218347,111.46,46.7228,465000,106.12240740200104,-85.4477,33.1391,4.1469,0.13050878047943115,0.0102132,-49.4498,32.71203156299998,5700,-0.132344,25,0.427908,235.7170795300026,0.013050878420472145,0.0166421,-21.7980146166,-0.00471354,0.0162361,-21.8181832123,-2.67459,-0.232769,-0.00370939,19.5679,0.000340556,2.27586,19.526,-84.875,26000,6270.955975332,-0.846914,0.961774,0.154405,0.922928,-5.36739,-0.829851,-0.00569156,107.237,0.00783073,48.2635,96.88264056500157,0.680352
0.016596,61.6847,45.3583,480000,105.13205142799961,-127.154,33.8419,2.80094,0.09170423448085785,0.131966,-48.1951,32.62903185799769,5900,-0.135428,26,0.469821,234.82647473999896,0.00917042326182127,0.0145846,-22.7657757898,-0.00476063,0.0206863,-22.6863684237,-2.66833,-0.328467,-0.00351964,23.4417,0.000485161,1.46309,23.4464,-118.15,27000,6505.660120184001,1.99561,0.948191,0.165559,0.959288,-6.11079,-1.42749,-0.00641499,64.0793,0.00821768,47.5376,97.06539145400166,1.31482
0.0144856,61.7651,46.6808,495000,106.45256444400002,-102.55,36.6329,2.49023,0.12272333353757858,0.129949,-49.5574,32.82972189300017,6100,-0.138628,27,0.436067,236.2253243720006,0.012272333726286888,0.0149933,-22.7377032643,-0.00462039,0.0185566,-22.7982427165,-2.66455,-0.329053,-0.00335499,20.2717,0.000451647,1.27231,20.1732,-96.8958,28000,6742.846578327998,2.52171,0.935595,0.164018,0.941918,-5.43587,-1.12881,-0.00560429,65.1143,0.00461743,49.8962,96.94303803500043,1.19899
0.0150207,119.392,48.9399,510000,106.8204634169997,-98.5172,56.7221,4.40386,0.12633314728736877,-0.0300142,-50.9288,33.07127039799343,6300,-0.139374,28,0.447879,237.79626223299238,0.012633315287530422,0.00892699,-22.2669753388,-0.00479272,0.0167793,-22.181279723,-2.67493,-0.237269,-0.00339756,19.6323,0.000585479,1.94593,19.7147,-94.5484,29000,6980.520740195993,-0.739022,0.944701,0.159603,0.937459,-6.73819,-0.723568,-0.00610521,122.443,0.00337684,51.2193,97.90452841799924,0.709683
0.00895228,120.022,48.9672,525000,106.51448171800075,-106.644,52.0537,2.3629,0.09885305166244507,-0.00317352,-51.578,33.12534239499291,6500,-0.136688,29,0.459169,237.42280912799288,0.009885305538773537,0.033726,-22.2839406059,-0.00452066,0.0189366,-22.2478033236,-2.67318,-0.410163,-0.00342899,20.3873,0.000460882,0.763647,20.3422,-101.681,30000,7218.096179795985,4.34638,0.934952,0.161573,0.947736,-5.76766,-1.54953,-0.00608783,121.177,-0.00755296,51.303,97.78298501499921,1.51855
