Policy log std Mean,Q Predictions Std,Policy mu Std,Train Time (s),V Predictions Mean,R Predictions Max,QF Loss,Policy mu Min,VF Loss,Q Predictions Mean,AverageReturn_all_test_tasks,Policy Loss,R Predictions Min,(Previous) Eval Time (s),V Predictions Std,Log Pis Mean,Z mean eval,Total Train Time (s),Z variance eval,Policy log std Max,Policy log std Std,Policy mu Mean,V Predictions Min,Sample Time (s),Epoch Time (s),Q Predictions Min,KL Divergence,RF Loss,V Predictions Max,KL Loss,Log Pis Max,Epoch,R Predictions Mean,Number of train steps total,Log Pis Std,Z variance train,AverageReturn_all_train_tasks,Z mean train,Q Predictions Max,Policy log std Min,R Predictions Std,Number of env steps total,Policy mu Max,Number of rollouts total,Log Pis Min
-0.414518,1435.64,1.85391,104.57107583000015,816.173,0.00420096,18828.0,-4.15065,1463.52,781.926,-53.4588162157,-822.369,0.000844259,94.68114435499956,1461.02,5.50314,0.294706,4948.876759490001,0.0223983,0.314208,0.278474,0.536181,29.8245,31.742816817998573,230.9950370029983,16.7194,496.0314025878906,14.5796,23459.0,49.60314178466797,20.4725,20,0.00248117,21000,7.05407,0.228048,-63.8079381471,4.78594,23391.0,-1.42994,0.000824907,390000,3.58618,4700,-6.77806
-0.250513,1845.7,1.56555,103.83010129500053,971.709,0.00416452,96018.4,-8.7778,5446.4,962.393,-70.3169225935,-980.071,0.000749287,94.25412837300064,1888.78,2.50815,1.44894,5177.920952175004,0.07163,0.466922,0.263581,0.112738,26.2289,31.469764590000523,229.5539942580017,17.793,390.6234436035156,16.8897,24270.5,39.06234359741211,26.7649,21,0.00239608,22000,6.82449,0.0638372,-68.4503291836,1.26542,25062.1,-1.54558,0.000770556,405000,5.20839,4900,-6.97667
-0.218335,306.928,0.973314,103.80776087100003,147.72,0.00344753,1067.4,-2.71192,437.234,136.422,-66.0099770079,-138.516,-4.58071e-05,93.74460767300025,320.972,-0.350065,1.22355,5407.700272674005,0.055431,0.302295,0.169226,0.0645516,35.2457,31.65621999600171,229.20858854000198,21.9197,1247.623046875,16.6122,2818.93,124.7623062133789,16.1853,22,0.00166097,23000,3.90315,0.0869071,-63.0539282312,1.99583,2743.31,-0.734176,0.000789531,420000,2.75858,5100,-8.25282
-0.309028,1428.87,1.36848,103.40878407499986,664.888,0.00395275,60783.7,-8.22918,2182.48,636.084,-61.3435044606,-650.187,-0.000178508,94.31557354399956,1493.12,1.50856,1.00051,5636.323175276005,0.0529345,0.187829,0.215831,0.11507,36.8563,31.627721378001297,229.35207899700072,24.467,916.272216796875,15.4729,14399.9,91.6272201538086,45.332,23,0.0020476,24000,6.08228,0.200798,-51.8706400554,5.05843,13125.0,-1.41216,0.000920386,435000,7.55667,5300,-10.2492
-0.232708,2257.56,1.33713,104.80065051899965,713.166,0.00379236,23110.1,-7.98702,3453.11,669.925,-63.6797559399,-709.576,-0.00048379,93.58679639699949,2401.82,1.01686,0.736787,5866.245288722001,0.04679,1.26235,0.233897,0.0996692,36.5162,31.48096244399676,229.8684093599959,26.1491,924.738037109375,13.8976,26182.2,92.47380828857422,37.3277,24,0.00204571,25000,6.55019,0.484383,-51.4822118211,10.972,25077.2,-0.955543,0.000862475,450000,7.76689,5500,-9.02504
-0.225806,1314.13,1.1526,103.54388657299933,483.678,0.00417524,19248.4,-5.72458,851.581,463.066,-62.8918677959,-482.248,0.000335246,93.64154643399979,1352.9,0.274828,0.344535,6095.524921051,0.0281919,0.712562,0.206026,0.158734,38.0108,31.69135478700173,228.87678779400085,30.1683,1671.2156982421875,14.729,22872.7,167.12156677246094,24.113,25,0.00198482,26000,5.51214,0.0801999,-52.6829885866,1.45306,23717.1,-1.19786,0.00101219,465000,7.96453,5700,-6.48127
-0.314637,3521.61,2.08411,103.31474860900016,1991.52,0.00427878,65707.1,-15.6039,29767.5,1951.46,-43.4107189804,-2034.79,0.000893582,94.04419953100023,3654.76,4.91421,12.2845,6325.151319818005,0.597257,2.0,0.305046,0.322298,37.7249,32.10413737100316,229.46308551100356,32.3982,500.04296875,13.8272,30527.3,50.00429916381836,42.3196,26,0.00251577,27000,8.60381,0.0148827,-56.3281831937,0.0891749,31505.7,-1.07342,0.000795969,480000,17.9999,5900,-5.29619
-0.272422,2629.53,1.5774,104.52381102599975,1113.34,0.00419464,190258.0,-30.4005,2682.27,1077.81,-35.9572178472,-1110.54,-0.000113196,94.2080979250004,2720.15,1.97402,13.7773,6556.049139740002,0.692047,2.0,0.258012,0.133101,35.5338,31.975055805996817,230.70696475699697,28.4827,2032.244140625,14.9622,57723.9,203.2244110107422,40.4121,27,0.001778,28000,7.68312,0.109556,-56.5053274238,2.10626,56718.9,-1.3633,0.00116288,495000,44.3294,6100,-5.76536
-0.287126,2736.5,1.66026,104.15872171800038,1293.05,0.00404001,105787.0,-26.7577,6555.75,1288.04,-63.5160837739,-1312.55,-0.000957322,94.39953982800034,2729.73,2.54465,0.327588,6787.083724546,0.0282885,2.0,0.267558,0.121567,34.664,32.125608363997344,230.68386990999807,25.5028,2262.33447265625,14.754,56780.7,226.2334442138672,40.3456,28,0.00197383,29000,7.12835,0.027492,-47.7016444641,0.324187,56451.5,-1.08636,0.001341,510000,57.1364,6300,-5.91168
-0.332085,4158.74,2.93615,103.55939458099965,2260.52,0.00403653,616566.0,-22.7705,8347.83,2247.97,-66.7194831729,-2301.89,-0.00234955,94.75078210499942,4266.83,5.41848,0.335254,7017.109046467001,0.0271188,2.0,0.329862,0.408244,31.3752,31.928972510000676,230.23914919599974,24.2018,2846.868408203125,17.2238,38012.0,284.6868591308594,47.0561,29,0.00180141,30000,10.3788,0.654833,-53.44997865,13.156,38033.9,-1.22337,0.00149656,525000,58.9837,6500,-5.09628
