QF Loss,Number of train steps total,Q Predictions Max,AverageReturn_all_train_tasks,Log Pis Std,Z mean train,R Predictions Min,Z variance train,VF Loss,Policy log std Max,Policy log std Std,RF Loss,Total Train Time (s),Policy log std Min,Epoch,V Predictions Std,Epoch Time (s),Number of rollouts total,KL Loss,Policy mu Max,Q Predictions Std,V Predictions Min,Q Predictions Mean,Policy mu Std,Q Predictions Min,Log Pis Mean,Policy Loss,(Previous) Eval Time (s),R Predictions Max,Log Pis Max,V Predictions Mean,Z mean eval,R Predictions Std,V Predictions Max,Policy mu Min,R Predictions Mean,KL Divergence,Number of env steps total,Train Time (s),Policy log std Mean,Sample Time (s),Log Pis Min,Policy mu Mean,Z variance eval,AverageReturn_all_test_tasks
1.20575e+08,29000,142368.0,32777.8764118,4.11382,5.1638,-0.00130526,5.26344e-05,482698.0,2.0,1.13959,350064.0,6896.66987203001,-2.15167,28,31847.3,230.09299586899579,6300,322.2431335449219,35.5496,31507.8,33182.1,89899.8,12.4529,33227.5,33.2463,-91017.0,93.07980062300066,0.000214077,42.9174,90584.6,6.04368,0.000415709,143348.0,-10.8069,-0.00079995,3222.43115234375,510000,105.4356378679995,0.206858,31.577557377995618,9.80988,8.42147,8.98878e-05,17589.799701
1.3352e+08,30000,158954.0,21920.7213221,9.30745,5.63358,-0.00113482,0.000397069,1.23496e+06,2.0,1.30053,1.23604e+06,7129.220922199013,-2.59349,29,36704.0,232.25065061900295,6500,352.58563232421875,37.4946,36749.8,39310.6,99484.0,13.9809,38794.5,36.2158,-101074.0,93.78622182699928,0.000233204,51.2006,100169.0,5.07597,0.000357949,157775.0,-38.1489,-0.000601759,3525.856201171875,525000,106.61479661700014,-0.30449,31.849632175003535,6.74046,5.16528,0.000451846,19061.2376844
1.44213e+08,31000,147218.0,25169.1704143,6.79394,5.18555,-0.000937153,0.000454801,449105.0,2.0,1.20515,571422.0,7362.011834269012,-2.62356,30,33571.0,232.77747046499826,6700,319.8843688964844,40.3619,33753.2,41027.3,95689.3,20.8542,39942.3,34.3528,-97480.4,94.08688741599963,0.000398219,46.5165,97037.0,4.7827,0.000291027,150871.0,-65.677,-0.000388376,3198.84375,540000,106.82843807799964,0.157581,31.862144970998997,7.97488,0.00752643,0.000227868,25871.1106409
1.77026e+08,32000,154334.0,30866.9058683,5.65399,5.20206,-0.000981002,0.000759978,255956.0,2.0,1.47409,711846.0,7594.432999602014,-3.68942,31,33581.3,232.14705938500174,6900,314.32891845703125,59.3561,33360.1,42877.1,103752.0,24.691,42067.7,32.4047,-105433.0,94.1007920840002,0.000713455,43.6789,105311.0,4.66966,0.000432998,155721.0,-76.9724,-0.000122869,3143.2890625,555000,106.30125204600063,-0.0494484,31.745015255000908,6.68721,1.78428,9.13059e-05,27138.4049522
1.67615e+08,33000,158211.0,32958.5361034,5.39491,4.52847,-0.0010061,0.000147696,385876.0,2.0,1.42467,1.18472e+06,7826.491495978013,-3.59839,32,32264.1,232.62076988199806,7100,342.6131896972656,78.7286,32259.3,50349.7,114668.0,26.6799,49212.7,32.2275,-116509.0,94.3751823800003,0.000791851,43.1375,116187.0,4.68816,0.000523602,159023.0,-85.9009,-0.000141046,3426.1318359375,570000,106.2694974699998,-0.0270721,31.976090031997956,7.5465,-0.0218146,8.69795e-05,32593.0140437
1.66846e+08,34000,156889.0,34166.9181035,4.67531,4.7566,-0.000618628,9.58286e-05,370740.0,2.0,1.42487,582707.0,8059.052215309015,-3.32964,33,33263.1,232.09895244400013,7300,334.1784362792969,85.7923,33261.8,60309.0,114189.0,28.1029,58569.8,34.5668,-115712.0,93.81343034499969,0.000668864,43.2667,116208.0,4.5339,0.000334819,157658.0,-80.9948,9.87593e-06,3341.7841796875,585000,106.33535823699913,0.175923,31.950163862001318,8.42039,0.862549,0.000214516,30107.3435363
1.68403e+08,35000,164517.0,25266.6117113,5.39918,4.56741,-0.000607491,9.63433e-05,930919.0,2.0,1.29386,230449.0,8291.322055268014,-3.09684,34,32587.2,232.67573321500095,7500,341.4808654785156,71.0635,32726.5,55397.1,118047.0,23.8434,54819.9,32.2538,-120017.0,94.27561935400081,0.000802157,42.7343,119275.0,4.72905,0.000369051,163619.0,-67.5775,0.000171983,3414.80859375,600000,106.537832213,0.0845952,31.862281648000135,10.7366,1.75764,0.00021283,27550.4393734
1.64146e+08,36000,164337.0,24005.4289079,6.64692,4.73675,-0.000804103,0.000193505,641226.0,2.0,1.32531,456104.0,8524.130448561013,-3.38304,35,35066.2,232.6347656980015,7700,340.0820007324219,73.4193,35039.6,62512.2,115955.0,21.5012,60617.3,33.7446,-117999.0,93.87011610099944,0.00081606,47.3417,118680.0,4.77116,0.000403661,166432.0,-57.3392,0.000146209,3400.820068359375,615000,106.9963457490012,-0.134536,31.76830384800087,3.57194,0.488705,0.000229525,27318.9160666
2.20892e+08,37000,173107.0,17841.3922891,7.46823,4.54881,-0.000743526,0.000267723,271797.0,2.0,1.35984,989618.0,8756.372459324011,-3.19321,36,31767.0,232.14289168199502,7900,334.048095703125,89.11,31973.7,60448.5,127844.0,18.7404,59006.8,31.6519,-129352.0,94.04460759999893,0.000788828,46.1595,129555.0,4.7267,0.000357517,174992.0,-44.4415,0.00021991,3340.48095703125,630000,106.52400745299929,-0.0650842,31.574276628996813,0.743992,2.31677,0.000120569,19525.6996995
1.52116e+08,38000,173546.0,20223.1403209,7.27597,4.49668,-0.000659729,0.000117715,227866.0,2.0,1.43664,528190.0,8988.916653968015,-3.21138,37,34423.9,232.6226855560035,8100,349.9003601074219,100.261,34615.0,63999.7,123330.0,22.0999,61763.1,31.2183,-125239.0,94.14424499899906,0.000783856,46.4666,125378.0,4.32973,0.00029997,175595.0,-43.9916,5.94772e-05,3499.00341796875,645000,106.75057421599922,0.0231339,31.72786634100521,2.26229,2.34176,0.000407579,20389.57538
